cpostal,dni,number,repetido
683649817,34165,73464363W,68&649817
323&&,9205422554,4277144U,32354
37271,07374883L,915009564
94531,819796&&&,982037227,81979641Q
94531,81979641Q,982037227
34750,22621973O&,948353526
15140,75387588J,672-151-770
76148365F,47592,635-58-57-77
&85518,78465423L,628464024
46122,05&485827J,&916263388&
69443,65515123W,686430741
14450,43177259H,936246131
49563,48789156C,647855659
41113,57684347F,984481738
46122,05485827J,916263388
23045,28487975V,644653861
17131,58482144V,676386784
88801,78783243L,674684284
46463,56166143B,675023387
87843,86844541W,942956326
38054,38123265I,991748251
86980,81053265S,947177473
06890,26264609X,678447432
78775,81447223E,643924569
22311,31705377C,626358781
70731,87809459Q,911053352
11368,87068754O,953362572
53388,75872012A,671069744
64481,86083688J,692316681
74329,76491842T,942442783
46498,23292945S,637682779
86661,23691318L,608224128
44234,75503344C,624867665
87138,33154057G,988132947
51833,14642532C,646152526
98853,10084879R,631475229
31150,41878471C,977642202
27347,95051132K,981840357
86154,73838141J,646184918
55290,32431735R,662766298
72234,17831148T,942578706
52884,39744363T,916685382
40414,16384821M,643894352
66653,84807967G,647283861
21944,43195365Y,618124252
18671,28538148G,657816614
83803,33757922F,612646772
82322,91220809Z,663419215
88532,74680356V,692244142
08723,73977174X,952823598
55105,19783477T,612718215
25726,18377410F,933086457
74777,18437363O,923013134
81902,28335382E,947522848
09937,78715534M,961514688
64943,41444020C,946723252
87921,17634287M,961167048
21723,86543465P,951866855
31933,42533438U,925830895
58884,40261825O,621568392
55285,84798133M,949657714
37752,75126158H,656488307
62718,37476526Y,637783397
16280,20849774E,617463544
30697,49082427C,974356204
74213,86541577C,940604224
28841,14658822L,990121176
22821,52133165P,642188382
25773,75817676T,947861485
13324,15758195J,638260071
56263,84612949T,972480321
34338,03288232L,941389813
23721,03487748M,695106862
48541,48953717B,615445422
03112,72745527Q,625538863
51436,38762861H,978821535
69555,76242531O,665081215
57147,67638815E,614564355
16675,69706620N,972164152
67500,99811455D,681736177
15367,85630465A,954828632
82410,46523115H,944732577
22287,23587858X,969634892
36598,21663891I,637276826
57146,22178427L,666638129
93285,46784631C,694884760
68882,11185233N,952382335
17665,57816654T,957655213
21467,96329259V,655896196
76638,88775823P,902410137
72015,89106461Y,983416817
91357,41367977C,678963768
33770,24583604Z,672416160
64859,14023235U,907551176
14813,13227707W,693306225
52070,47604772P,624712251
28621,17562688M,950742152
86735,55572022C,915054278
42737,50715816U,692447003
87252,00831812L,678257562
37965,89291257S,652537133
59414,80687104U,975897632
